Id;Mots;Mots_sans_lastharaKa;Mots_sans_harakat;orientation;force;Score
7308;مُتَأَجِّجٌ;مُتَأَجِّج;متأجج;Positive;High;3.0
7309;إِجَارٌ;إِجَار;إجار;Neutre;Median;0.0
7310;أَجَّارٌ;أَجَّار;أجار;Positive;High;3.0
7311;آجَرَ;آجَر;آجر;Positive;High;3.0
7312;آجِرٌ;آجِر;آجر;Positive;High;3.0
7313;أَجَرَ;أَجَر;أجر;Positive;Median;2.0
7314;أَجْرَةٌ;أَجْرَة;أجرة;Neutre;Median;0.0
7315;إِجْرَةٌ;إِجْرَة;إجرة;Positive;Low;1.0
7316;إِيجَارٌ;إِيجَار;إيجار;Neutre;Median;0.0
7317;إِيجَارَةٌ;إِيجَارَة;إيجارة;Neutre;Median;0.0
7318;مَأْجَرٌ;مَأْجَر;مأجر;Neutre;Median;0.0
7319;مُؤْجَرٌ;مُؤْجَر;مؤجر;Positive;Median;2.0
7320;مُؤْجَرٌ;مُؤْجَر;مؤجر;Positive;Median;2.0
7321;مُؤْجِرٌ;مُؤْجِر;مؤجر;Positive;Median;2.0
7322;مَأْجُورٌ;مَأْجُور;مأجور;Positive;High;3.0
7323;أَجَّلَ;أَجَّل;أجل;Negative;Median;-2.0
7324;آجَلَ;آجَل;آجل;Negative;Median;-2.0
7325;إِيجَالٌ;إِيجَال;إيجال;Negative;Low;-1.0
7326;إِيجَالَةٌ;إِيجَالَة;إيجالة;Negative;Low;-1.0
7327;تَأَجَّلَ;تَأَجَّل;تأجل;Negative;Median;-2.0
7328;تَأَجُّلٌ;تَأَجُّل;تأجل;Negative;Median;-2.0
7329;تَأَجُّلَةٌ;تَأَجُّلَة;تأجلة;Negative;Low;-1.0
7330;تَأْجِيلٌ;تَأْجِيل;تأجيل;Negative;Median;-2.0
7331;تَأْجِيلَةٌ;تَأْجِيلَة;تأجيلة;Negative;Low;-1.0
7332;مُؤَجَّلٌ;مُؤَجَّل;مؤجل;Negative;High;-3.0
7333;مُؤَجَّلٌ;مُؤَجَّل;مؤجل;Negative;Median;-2.0
7334;مُؤَجِّلٌ;مُؤَجِّل;مؤجل;Negative;Median;-2.0
7335;مُؤْجَلٌ;مُؤْجَل;مؤجل;Negative;Median;-2.0
7336;مُؤْجَلٌ;مُؤْجَل;مؤجل;Negative;Low;-1.0
7337;مُؤْجِلٌ;مُؤْجِل;مؤجل;Negative;High;-3.0
7338;مُتَأَجَّلٌ;مُتَأَجَّل;متأجل;Negative;Median;-2.0
7339;مُتَأَجَّلٌ;مُتَأَجَّل;متأجل;Negative;Median;-2.0
7340;مُتَأَجِّلٌ;مُتَأَجِّل;متأجل;Negative;Median;-2.0
7341;أُحَاحٌ;أُحَاح;أحاح;Negative;High;-3.0
7342;آحٌّ;آحّ;آح;Negative;Median;-2.0
7343;أَحٌّ;أَحّ;أح;Negative;Median;-2.0
7344;أَحَّ;أَحّ;أح;Negative;Median;-2.0
7345;أَحَّاحٌ;أَحَّاح;أحاح;Negative;High;-3.0
7346;أَحَّةٌ;أَحَّة;أحة;Negative;Low;-1.0
7347;إِحَّةٌ;إِحَّة;إحة;Negative;Low;-1.0
7348;أَحِيحٌ;أَحِيح;أحيح;Negative;High;-3.0
7349;مَأَحٌّ;مَأَحّ;مأح;Negative;Low;-1.0
7350;مَأْحُوحٌ;مَأْحُوح;مأحوح;Negative;Low;-1.0
7351;إِحْدَادٌ;إِحْدَاد;إحداد;Negative;Median;-2.0
7352;إِحْدَادَةٌ;إِحْدَادَة;إحدادة;Negative;Low;-1.0
7353;أَحَدَّ;أَحَدّ;أحد;Negative;High;-3.0
7354;مُحَدٌّ;مُحَدّ;محد;Negative;Median;-2.0
7355;مُحَدٌّ;مُحَدّ;محد;Negative;Median;-2.0
7356;مُحِدٌّ;مُحِدّ;محد;Negative;High;-3.0
7357;إِحَانٌ;إِحَان;إحان;Negative;Low;-1.0
7358;أَحَّانٌ;أَحَّان;أحان;Negative;High;-3.0
7359;آحَنَ;آحَن;آحن;Negative;Median;-2.0
7360;آحِنٌ;آحِن;آحن;Negative;High;-3.0
7361;أَحَنٌ;أَحَن;أحن;Negative;Median;-2.0
7362;أَحِنٌ;أَحِن;أحن;Negative;High;-3.0
7363;أَحِنَ;أَحِن;أحن;Negative;Low;-1.0
7364;أَحْنَةٌ;أَحْنَة;أحنة;Negative;Low;-1.0
7365;إِحْنَةٌ;إِحْنَة;إحنة;Negative;Low;-1.0
7366;إِحْنَةٌ;إِحْنَة;إحنة;Negative;Low;-1.0
7367;مُؤَاحَنٌ;مُؤَاحَن;مؤاحن;Negative;Median;-2.0
7368;مُؤَاحَنٌ;مُؤَاحَن;مؤاحن;Negative;Median;-2.0
7369;مُؤَاحِنٌ;مُؤَاحِن;مؤاحن;Negative;Median;-2.0
7370;مُؤَاحَنَةٌ;مُؤَاحَنَة;مؤاحنة;Negative;Median;-2.0
7371;مُؤَاحَنَةٌ;مُؤَاحَنَة;مؤاحنة;Negative;Low;-1.0
7372;مَأْحَنٌ;مَأْحَن;مأحن;Negative;Median;-2.0
7373;مَأْحُونٌ;مَأْحُون;مأحون;Negative;Median;-2.0
7374;أَخَّاذٌ;أَخَّاذ;أخاذ;Positive;High;3.0
7375;أَخَّذَ;أَخَّذ;أخذ;Positive;High;3.0
7376;آخِذٌ;آخِذ;آخذ;Positive;High;3.0
7377;أَخَذٌ;أَخَذ;أخذ;Neutre;Median;0.0
7378;أَخَذَ;أَخَذ;أخذ;Positive;Median;2.0
7379;أَخِذَ;أَخِذ;أخذ;Negative;Low;-1.0
7380;ائْتِخَاذٌ;ائْتِخَاذ;ائتخاذ;Negative;Median;-2.0
7381;اِئْتَخَذَ;اِئْتَخَذ;ائتخذ;Negative;Median;-2.0
7382;اتِّخَاذٌ;اتِّخَاذ;اتخاذ;Positive;Median;2.0
7383;اتِّخَاذَةٌ;اتِّخَاذَة;اتخاذة;Positive;Low;1.0
7384;اِتَّخَذَ;اِتَّخَذ;اتخذ;Positive;High;3.0
7385;تَأْخِيذٌ;تَأْخِيذ;تأخيذ;Neutre;Median;0.0
7386;مُؤْتَخَذٌ;مُؤْتَخَذ;مؤتخذ;Negative;Median;-2.0
7387;مُؤْتَخَذٌ;مُؤْتَخَذ;مؤتخذ;Negative;Median;-2.0
7388;مُؤْتَخِذٌ;مُؤْتَخِذ;مؤتخذ;Negative;High;-3.0
7389;مُؤَخَّذٌ;مُؤَخَّذ;مؤخذ;Negative;Median;-2.0
7390;مُؤَخِّذٌ;مُؤَخِّذ;مؤخذ;Positive;Median;2.0
7391;مَأْخَذٌ;مَأْخَذ;مأخذ;Neutre;Median;0.0
7392;مُؤْخَذٌ;مُؤْخَذ;مؤخذ;Negative;Median;-2.0
7393;مَأْخُوذٌ;مَأْخُوذ;مأخوذ;Negative;High;-3.0
7394;مُتَّخَذٌ;مُتَّخَذ;متخذ;Positive;High;3.0
7395;مُتَّخَذٌ;مُتَّخَذ;متخذ;Negative;Median;-2.0
7396;أَخَّرَ;أَخَّر;أخر;Negative;Median;-2.0
7397;اسْتِئْخَارٌ;اسْتِئْخَار;استئخار;Negative;Median;-2.0
7398;اسْتِئْخَارَةٌ;اسْتِئْخَارَة;استئخارة;Negative;Low;-1.0
7399;اِسْتَأْخَرَ;اِسْتَأْخَر;استأخر;Negative;Median;-2.0
7400;تَأْخِيرٌ;تَأْخِير;تأخير;Negative;High;-3.0
7401;تَأْخِيرَةٌ;تَأْخِيرَة;تأخيرة;Negative;Low;-1.0
7402;مُؤَخَّرٌ;مُؤَخَّر;مؤخر;Negative;High;-3.0
7403;مُؤَخَّرٌ;مُؤَخَّر;مؤخر;Negative;High;-3.0
7404;مُؤَخِّرٌ;مُؤَخِّر;مؤخر;Negative;Median;-2.0
7405;مُسْتَأْخَرٌ;مُسْتَأْخَر;مستأخر;Negative;High;-3.0
7406;مُسْتَأْخَرٌ;مُسْتَأْخَر;مستأخر;Negative;Median;-2.0
7407;مُسْتَأْخِرٌ;مُسْتَأْخِر;مستأخر;Negative;Median;-2.0
7408;آخٍ;آخ;آخ;Positive;Median;2.0
7409;أَخَا;أَخَا;أخا;Positive;Median;2.0
7410;إِخَاءٌ;إِخَاء;إخاء;Positive;Low;1.0
7411;أَخَّاءٌ;أَخَّاء;أخاء;Positive;High;3.0
7412;أَخَّى;أَخَّى;أخى;Positive;Low;1.0
7413;أَخْوَةٌ;أَخْوَة;أخوة;Positive;Low;1.0
7414;إِخْوَةٌ;إِخْوَة;إخوة;Positive;Median;2.0
7415;أُخُوَّةٌ;أُخُوَّة;أخوة;Positive;Median;2.0
7416;آخَى;آخَى;آخى;Positive;High;3.0
7417;إِيخَاءٌ;إِيخَاء;إيخاء;Positive;Median;2.0
7418;إِيخَاءَةٌ;إِيخَاءَة;إيخاءة;Positive;Median;2.0
7419;تَآخٍ;تَآخ;تآخ;Positive;Median;2.0
7420;تَأَخٍّ;تَأَخّ;تأخ;Positive;Low;1.0
7421;تَأَخَّى;تَأَخَّى;تأخى;Positive;Median;2.0
7422;تَأَخِّيَةٌ;تَأَخِّيَة;تأخية;Positive;Low;1.0
7423;تَآخَى;تَآخَى;تآخى;Positive;Median;2.0
7424;تَآخِيَةٌ;تَآخِيَة;تآخية;Positive;Median;2.0
7425;تَأْخِيَةٌ;تَأْخِيَة;تأخية;Positive;Low;1.0
7426;تَأْخِيَةٌ;تَأْخِيَة;تأخية;Positive;Low;1.0
7427;مُؤَاخٍ;مُؤَاخ;مؤاخ;Positive;Median;2.0
7428;مُؤَاخَاةٌ;مُؤَاخَاة;مؤاخاة;Positive;Median;2.0
7429;مُؤَاخَاةٌ;مُؤَاخَاة;مؤاخاة;Positive;Median;2.0
7430;مُؤَاخًى;مُؤَاخى;مؤاخى;Positive;Median;2.0
7431;مُؤَاخًى;مُؤَاخى;مؤاخى;Positive;Median;2.0
7432;مُؤْخٍ;مُؤْخ;مؤخ;Positive;Low;1.0
7433;مُؤَخٍّ;مُؤَخّ;مؤخ;Positive;Low;1.0
7434;مُؤَخًّى;مُؤَخّى;مؤخى;Positive;High;3.0
7435;مُؤَخًّى;مُؤَخّى;مؤخى;Positive;High;3.0
7436;مَأْخُوٌّ;مَأْخُوّ;مأخو;Positive;Median;2.0
7437;مَأْخًى;مَأْخى;مأخى;Positive;Low;1.0
7438;مُؤْخًى;مُؤْخى;مؤخى;Positive;Median;2.0
7439;مُؤْخًى;مُؤْخى;مؤخى;Positive;Median;2.0
7440;مُتَآخٍ;مُتَآخ;متآخ;Positive;High;3.0
7441;مُتَأَخٍّ;مُتَأَخّ;متأخ;Positive;Median;2.0
7442;مُتَأَخًّى;مُتَأَخّى;متأخى;Positive;Median;2.0
7443;مُتَأَخًّى;مُتَأَخّى;متأخى;Positive;Median;2.0
7444;مُتَآخًى;مُتَآخى;متآخى;Positive;High;3.0
7445;مُتَآخًى;مُتَآخى;متآخى;Positive;High;3.0
7446;آدَبَ;آدَب;آدب;Positive;High;3.0
7447;آدِبٌ;آدِب;آدب;Positive;Median;2.0
7448;أَدَبٌ;أَدَب;أدب;Positive;High;3.0
7449;أَدَبَ;أَدَب;أدب;Positive;Low;1.0
7450;أَدُبَ;أَدُب;أدب;Positive;Median;2.0
7451;أَدْبٌ;أَدْب;أدب;Positive;Low;1.0
7452;أَدْبَةٌ;أَدْبَة;أدبة;Positive;Low;1.0
7453;إِدْبَةٌ;إِدْبَة;إدبة;Positive;Median;2.0
7454;أَدَّابٌ;أَدَّاب;أداب;Positive;Median;2.0
7455;أَدَّبَ;أَدَّب;أدب;Positive;Median;2.0
7456;أَدِيبٌ;أَدِيب;أديب;Positive;High;3.0
7457;إِيدَابٌ;إِيدَاب;إيداب;Positive;Median;2.0
7458;إِيدَابَةٌ;إِيدَابَة;إيدابة;Positive;Low;1.0
7459;اسْتِئْدَابٌ;اسْتِئْدَاب;استئداب;Positive;Median;2.0
7460;اسْتِئْدَابَةٌ;اسْتِئْدَابَة;استئدابة;Positive;Low;1.0
7461;اِسْتَأْدَبَ;اِسْتَأْدَب;استأدب;Positive;Median;2.0
7462;تَأَدَّبَ;تَأَدَّب;تأدب;Positive;High;3.0
7463;تَأَدُّبٌ;تَأَدُّب;تأدب;Positive;High;3.0
7464;تَأَدُّبَةٌ;تَأَدُّبَة;تأدبة;Positive;Low;1.0
7465;تَأْدِيبٌ;تَأْدِيب;تأديب;Positive;Median;2.0
7466;تَأْدِيبَةٌ;تَأْدِيبَة;تأديبة;Positive;Low;1.0
7467;مَأْدَبٌ;مَأْدَب;مأدب;Positive;Low;1.0
7468;مُؤْدَبٌ;مُؤْدَب;مؤدب;Positive;Median;2.0
7469;مُؤْدَبٌ;مُؤْدَب;مؤدب;Positive;Median;2.0
7470;مُؤْدِبٌ;مُؤْدِب;مؤدب;Positive;Median;2.0
7471;مَأْدُبَةٌ;مَأْدُبَة;مأدبة;Positive;Median;2.0
7472;مُؤَدَّبٌ;مُؤَدَّب;مؤدب;Positive;High;3.0
7473;مُؤَدَّبٌ;مُؤَدَّب;مؤدب;Positive;Median;2.0
7474;مُؤَدِّبٌ;مُؤَدِّب;مؤدب;Positive;High;3.0
7475;مَأْدُوبٌ;مَأْدُوب;مأدوب;Positive;Low;1.0
7476;مُتَأَدَّبٌ;مُتَأَدَّب;متأدب;Positive;High;3.0
7477;مُتَأَدَّبٌ;مُتَأَدَّب;متأدب;Positive;High;3.0
7478;مُتَأَدِّبٌ;مُتَأَدِّب;متأدب;Positive;High;3.0
7479;مُسْتَأْدَبٌ;مُسْتَأْدَب;مستأدب;Positive;Median;2.0
7480;مُسْتَأْدَبٌ;مُسْتَأْدَب;مستأدب;Positive;Median;2.0
7481;مُسْتَأْدِبٌ;مُسْتَأْدِب;مستأدب;Positive;Median;2.0
7482;آدَمَ;آدَم;آدم;Positive;High;3.0
7483;إِيدَامٌ;إِيدَام;إيدام;Positive;Median;2.0
7484;إِيدَامَةٌ;إِيدَامَة;إيدامة;Positive;Low;1.0
7485;مُؤْدَمٌ;مُؤْدَم;مؤدم;Positive;Median;2.0
7486;مُؤْدَمٌ;مُؤْدَم;مؤدم;Positive;Median;2.0
7487;مُؤْدِمٌ;مُؤْدِم;مؤدم;Positive;High;3.0
7488;آدٍ;آد;آد;Negative;High;-3.0
7489;أَدَا;أَدَا;أدا;Negative;Median;-2.0
7490;أَدَّاءٌ;أَدَّاء;أداء;Negative;High;-3.0
7491;أَدْوٌ;أَدْو;أدو;Negative;Median;-2.0
7492;أَدْوَةٌ;أَدْوَة;أدوة;Negative;Low;-1.0
7493;إِدْوَةٌ;إِدْوَة;إدوة;Negative;Low;-1.0
7494;أُدُوٌّ;أُدُوّ;أدو;Negative;Median;-2.0
7495;مَأْدُوٌّ;مَأْدُوّ;مأدو;Negative;Median;-2.0
7496;مَأْدًى;مَأْدى;مأدى;Negative;Median;-2.0
7497;تَأَدٍّ;تَأَدّ;تأد;Positive;Median;2.0
7498;تَأَدَّى;تَأَدَّى;تأدى;Positive;High;3.0
7499;تَأَدِّيَةٌ;تَأَدِّيَة;تأدية;Positive;Median;2.0
7500;مُتَأَدٍّ;مُتَأَدّ;متأد;Positive;Median;2.0
7501;مُتَأَدًّى;مُتَأَدّى;متأدى;Positive;High;3.0
7502;مُتَأَدًّى;مُتَأَدّى;متأدى;Positive;Median;2.0
7503;أَذَّنَ;أَذَّن;أذن;Positive;High;3.0
7504;اسْتِئْذَانٌ;اسْتِئْذَان;استئذان;Positive;Median;2.0
7505;اسْتِئْذَانَةٌ;اسْتِئْذَانَة;استئذانة;Positive;Low;1.0
7506;اِسْتَأْذَنَ;اِسْتَأْذَن;استأذن;Positive;High;3.0
7507;تَأْذِينٌ;تَأْذِين;تأذين;Positive;Median;2.0
7508;تَأْذِينَةٌ;تَأْذِينَة;تأذينة;Positive;Low;1.0
7509;مُؤَذَّنٌ;مُؤَذَّن;مؤذن;Positive;Low;1.0
7510;مُؤَذَّنٌ;مُؤَذَّن;مؤذن;Positive;Low;1.0
7511;مُؤَذِّنٌ;مُؤَذِّن;مؤذن;Positive;Median;2.0
7512;مُسْتَأْذَنٌ;مُسْتَأْذَن;مستأذن;Positive;Median;2.0
7513;مُسْتَأْذَنٌ;مُسْتَأْذَن;مستأذن;Positive;Low;1.0
7514;مُسْتَأْذِنٌ;مُسْتَأْذِن;مستأذن;Positive;Median;2.0
7515;آرَخَ;آرَخ;آرخ;Positive;High;3.0
7516;أَرَّخَ;أَرَّخ;أرخ;Positive;High;3.0
7517;إِيرَاخٌ;إِيرَاخ;إيراخ;Positive;Median;2.0
7518;إِيرَاخَةٌ;إِيرَاخَة;إيراخة;Positive;Low;1.0
7519;تَأْرِيخٌ;تَأْرِيخ;تأريخ;Positive;Median;2.0
7520;تَأْرِيخَةٌ;تَأْرِيخَة;تأريخة;Positive;Low;1.0
7521;مُؤْرِخٌ;مُؤْرِخ;مؤرخ;Positive;Low;1.0
7522;مُؤَرِّخٌ;مُؤَرِّخ;مؤرخ;Positive;Median;2.0
7523;أَرَّاقٌ;أَرَّاق;أراق;Negative;Median;-2.0
7524;أَرَّقَ;أَرَّق;أرق;Negative;High;-3.0
7525;آرَقَ;آرَق;آرق;Negative;High;-3.0
7526;آرِقٌ;آرِق;آرق;Negative;Median;-2.0
7527;أَرَقٌ;أَرَق;أرق;Negative;High;-3.0
7528;أَرِقٌ;أَرِق;أرق;Negative;High;-3.0
7529;أَرِقَ;أَرِق;أرق;Negative;Low;-1.0
7530;أَرْقَةٌ;أَرْقَة;أرقة;Negative;Low;-1.0
7531;إِرْقَةٌ;إِرْقَة;إرقة;Negative;Low;-1.0
7532;إِيرَاقٌ;إِيرَاق;إيراق;Negative;Median;-2.0
7533;إِيرَاقَةٌ;إِيرَاقَة;إيراقة;Negative;Low;-1.0
7534;تَأَرَّقَ;تَأَرَّق;تأرق;Negative;Median;-2.0
7535;تَأَرُّقٌ;تَأَرُّق;تأرق;Negative;Median;-2.0
7536;تَأَرُّقَةٌ;تَأَرُّقَة;تأرقة;Negative;Low;-1.0
7537;تَأْرِيقٌ;تَأْرِيق;تأريق;Negative;Median;-2.0
7538;تَأْرِيقَةٌ;تَأْرِيقَة;تأريقة;Negative;Low;-1.0
7539;مُؤَرَّقٌ;مُؤَرَّق;مؤرق;Negative;Median;-2.0
7540;مُؤَرَّقٌ;مُؤَرَّق;مؤرق;Negative;Median;-2.0
7541;مُؤَرِّقٌ;مُؤَرِّق;مؤرق;Negative;High;-3.0
7542;مَأْرَقٌ;مَأْرَق;مأرق;Negative;Low;-1.0
7543;مُؤْرَقٌ;مُؤْرَق;مؤرق;Negative;Median;-2.0
7544;مُؤْرَقٌ;مُؤْرَق;مؤرق;Negative;Low;-1.0
7545;مُؤْرِقٌ;مُؤْرِق;مؤرق;Negative;Median;-2.0
7546;مَأْرُوقٌ;مَأْرُوق;مأروق;Negative;Median;-2.0
7547;مُتَأَرَّقٌ;مُتَأَرَّق;متأرق;Negative;Median;-2.0
7548;مُتَأَرَّقٌ;مُتَأَرَّق;متأرق;Negative;Median;-2.0
7549;مُتَأَرِّقٌ;مُتَأَرِّق;متأرق;Negative;High;-3.0
7550;آرَنَ;آرَن;آرن;Negative;Low;-1.0
7551;إِيرَانٌ;إِيرَان;إيران;Negative;Median;-2.0
7552;إِيرَانَةٌ;إِيرَانَة;إيرانة;Negative;Low;-1.0
7553;مُؤْرَنٌ;مُؤْرَن;مؤرن;Negative;Median;-2.0
7554;مُؤْرَنٌ;مُؤْرَن;مؤرن;Negative;Median;-2.0
7555;مُؤْرِنٌ;مُؤْرِن;مؤرن;Negative;High;-3.0
7556;إِزَارٌ;إِزَار;إزار;Neutre;Median;0.0
7557;آزَرَ;آزَر;آزر;Positive;High;3.0
7558;آزِرٌ;آزِر;آزر;Positive;Low;1.0
7559;أَزَرٌ;أَزَر;أزر;Positive;Low;1.0
7560;أَزَرَ;أَزَر;أزر;Positive;Low;1.0
7561;أَزِرَ;أَزِر;أزر;Negative;Low;-1.0
7562;أَزْرٌ;أَزْر;أزر;Neutre;Median;0.0
7563;أَزْرَةٌ;أَزْرَة;أزرة;Positive;Low;1.0
7564;إِزْرَةٌ;إِزْرَة;إزرة;Positive;Low;1.0
7565;أَزَّارٌ;أَزَّار;أزار;Positive;High;3.0
7566;أَزَّرَ;أَزَّر;أزر;Positive;Median;2.0
7567;ائْتِزَارٌ;ائْتِزَار;ائتزار;Positive;Median;2.0
7568;ائْتِزَارَةٌ;ائْتِزَارَة;ائتزارة;Positive;Low;1.0
7569;اِئْتَزَرَ;اِئْتَزَر;ائتزر;Positive;Median;2.0
7570;تَآزَرَ;تَآزَر;تآزر;Positive;High;3.0
7571;تَآزُرٌ;تَآزُر;تآزر;Positive;High;3.0
7572;تَآزُرَةٌ;تَآزُرَة;تآزرة;Positive;Low;1.0
7573;تَأْزِيرٌ;تَأْزِير;تأزير;Positive;Median;2.0
7574;تَأْزِيرَةٌ;تَأْزِيرَة;تأزيرة;Positive;Low;1.0
7575;مُؤَازَرٌ;مُؤَازَر;مؤازر;Positive;Median;2.0
7576;مُؤَازَرٌ;مُؤَازَر;مؤازر;Positive;Median;2.0
7577;مُؤَازِرٌ;مُؤَازِر;مؤازر;Positive;High;3.0
7578;مُؤَازَرَةٌ;مُؤَازَرَة;مؤازرة;Positive;Median;2.0
7579;مُؤَازَرَةٌ;مُؤَازَرَة;مؤازرة;Positive;Median;2.0
7580;مُؤْتَزَرٌ;مُؤْتَزَر;مؤتزر;Positive;Median;2.0
7581;مُؤْتَزَرٌ;مُؤْتَزَر;مؤتزر;Positive;Median;2.0
7582;مُؤْتَزِرٌ;مُؤْتَزِر;مؤتزر;Positive;Low;1.0
7583;مَأْزَرٌ;مَأْزَر;مأزر;Positive;Median;2.0
7584;مُؤَزَّرٌ;مُؤَزَّر;مؤزر;Positive;Low;1.0
7585;مُؤَزَّرٌ;مُؤَزَّر;مؤزر;Positive;Median;2.0
7586;مُؤَزِّرٌ;مُؤَزِّر;مؤزر;Positive;Median;2.0
7587;مَأْزُورٌ;مَأْزُور;مأزور;Positive;Median;2.0
7588;مُتَآزَرٌ;مُتَآزَر;متآزر;Positive;Median;2.0
7589;مُتَآزَرٌ;مُتَآزَر;متآزر;Positive;Median;2.0
7590;مُتَآزِرٌ;مُتَآزِر;متآزر;Positive;High;3.0
7591;اسْتِئْسَادٌ;اسْتِئْسَاد;استئساد;Positive;High;3.0
7592;اسْتِئْسَادَةٌ;اسْتِئْسَادَة;استئسادة;Positive;Low;1.0
7593;اِسْتَأْسَدَ;اِسْتَأْسَد;استأسد;Positive;High;3.0
7594;تَأَسَّدَ;تَأَسَّد;تأسد;Positive;Median;2.0
7595;تَأَسُّدٌ;تَأَسُّد;تأسد;Positive;Median;2.0
7596;تَأَسُّدَةٌ;تَأَسُّدَة;تأسدة;Positive;Median;2.0
7597;مُتَأَسَّدٌ;مُتَأَسَّد;متأسد;Positive;Median;2.0
7598;مُتَأَسَّدٌ;مُتَأَسَّد;متأسد;Positive;Median;2.0
7599;مُتَأَسِّدٌ;مُتَأَسِّد;متأسد;Positive;Median;2.0
7600;مُسْتَأْسَدٌ;مُسْتَأْسَد;مستأسد;Positive;High;3.0
7601;مُسْتَأْسَدٌ;مُسْتَأْسَد;مستأسد;Positive;High;3.0
7602;مُسْتَأْسِدٌ;مُسْتَأْسِد;مستأسد;Positive;High;3.0
7603;أَسْرٌ;أَسْر;أسر;Neutre;Median;0.0
7604;اسْتِئْسَارٌ;اسْتِئْسَار;استئسار;Neutre;Median;0.0
7605;اِسْتَأْسَرَ;اِسْتَأْسَر;استأسر;Positive;High;3.0
7606;مُسْتَأْسَرٌ;مُسْتَأْسَر;مستأسر;Negative;High;-3.0
7607;مُسْتَأْسَرٌ;مُسْتَأْسَر;مستأسر;Negative;High;-3.0
7608;مُسْتَأْسِرٌ;مُسْتَأْسِر;مستأسر;Positive;Median;2.0
7609;أَسِفٌ;أَسِف;أسف;Negative;High;-3.0
7610;تَأَسَّلَ;تَأَسَّل;تأسل;Positive;High;3.0
7611;تَأَسُّلٌ;تَأَسُّل;تأسل;Positive;High;3.0
7612;تَأَسُّلَةٌ;تَأَسُّلَة;تأسلة;Positive;Low;1.0
7613;تَأْسِيلٌ;تَأْسِيل;تأسيل;Positive;Median;2.0
7614;تَأْسِيلَةٌ;تَأْسِيلَة;تأسيلة;Positive;High;3.0
7615;مُؤَسَّلٌ;مُؤَسَّل;مؤسل;Positive;Low;1.0
7616;مُؤَسَّلٌ;مُؤَسَّل;مؤسل;Positive;Median;2.0
7617;مُؤَسِّلٌ;مُؤَسِّل;مؤسل;Positive;High;3.0
7618;مُتَأَسَّلٌ;مُتَأَسَّل;متأسل;Positive;Median;2.0
7619;مُتَأَسَّلٌ;مُتَأَسَّل;متأسل;Positive;Median;2.0
7620;مُتَأَسِّلٌ;مُتَأَسِّل;متأسل;Positive;High;3.0
7621;آسَنَ;آسَن;آسن;Negative;Median;-2.0
7622;إِيسَانٌ;إِيسَان;إيسان;Negative;Median;-2.0
7623;إِيسَانَةٌ;إِيسَانَة;إيسانة;Negative;Low;-1.0
7624;مُؤْسَنٌ;مُؤْسَن;مؤسن;Negative;High;-3.0
7625;مُؤْسَنٌ;مُؤْسَن;مؤسن;Negative;High;-3.0
7626;مُؤْسِنٌ;مُؤْسِن;مؤسن;Negative;Median;-2.0
7627;إِيسَاءٌ;إِيسَاء;إيساء;Negative;Median;-2.0
7628;إِيسَاءَةٌ;إِيسَاءَة;إيساءة;Negative;Low;-1.0
7629;مُؤْسٍ;مُؤْس;مؤس;Negative;Low;-1.0
7630;مُؤْسًى;مُؤْسى;مؤسى;Negative;Low;-1.0
7631;مُؤْسًى;مُؤْسى;مؤسى;Negative;Low;-1.0
7632;إِسَاءٌ;إِسَاء;إساء;Neutre;Median;0.0
7633;أَسًى;أَسى;أسى;Neutre;Median;0.0
7634;أَسَى;أَسَى;أسى;Positive;Low;1.0
7635;مُؤَاسٍ;مُؤَاس;مؤاس;Positive;High;3.0
7636;مُؤَاسًى;مُؤَاسى;مؤاسى;Positive;Median;2.0
7637;مُؤَاسًى;مُؤَاسى;مؤاسى;Positive;Low;1.0
7638;أَصَدَّ;أَصَدّ;أصد;Negative;High;-3.0
7639;أَصَالَةٌ;أَصَالَة;أصالة;Positive;Median;2.0
7640;أَصَّالٌ;أَصَّال;أصال;Positive;High;3.0
7641;آصِلٌ;آصِل;آصل;Positive;High;3.0
7642;أَصَلٌ;أَصَل;أصل;Neutre;Median;0.0
7643;أَصُلَ;أَصُل;أصل;Positive;High;3.0
7644;أَصْلٌ;أَصْل;أصل;Neutre;Median;0.0
7645;أَصْلَةٌ;أَصْلَة;أصلة;Positive;Median;2.0
7646;إِصْلَةٌ;إِصْلَة;إصلة;Positive;Low;1.0
7647;أَصِيلٌ;أَصِيل;أصيل;Positive;High;3.0
7648;إِيصَالَةٌ;إِيصَالَة;إيصالة;Positive;Low;1.0
7649;مَأْصَلٌ;مَأْصَل;مأصل;Neutre;Median;0.0
7650;مَأْصُولٌ;مَأْصُول;مأصول;Positive;Median;2.0
7651;إِضْمَامٌ;إِضْمَام;إضمام;Positive;Median;2.0
7652;إِضْمَامَةٌ;إِضْمَامَة;إضمامة;Positive;Low;1.0
7653;مُضَمٌّ;مُضَمّ;مضم;Positive;Median;2.0
7654;مُضَمٌّ;مُضَمّ;مضم;Positive;Median;2.0
7655;مُضِمٌّ;مُضِمّ;مضم;Positive;Median;2.0
7656;آفٌّ;آفّ;آف;Negative;Median;-2.0
7657;أَفٌّ;أَفّ;أف;Negative;Median;-2.0
7658;أَفَّ;أَفّ;أف;Negative;High;-3.0
7659;أَفَّافٌ;أَفَّاف;أفاف;Negative;High;-3.0
7660;أَفَّةٌ;أَفَّة;أفة;Negative;Low;-1.0
